HypsoPerc,HypsoAlt
0,427.470001220703
1,464.640014648438
2,476.010009765625
3,485.899993896484
4,494.910003662109
5,502.739990234375
6,511.049987792969
7,520.650024414062
8,530.880004882812
9,541.390014648438
10,552.010009765625
11,562.75
12,573.530029296875
13,584.97998046875
14,596.849975585938
15,608.830017089844
16,620.950012207031
17,632.75
18,644.739990234375
19,657.260009765625
20,668.919982910156
21,679.679992675781
22,690.119995117188
23,700.52001953125
24,710.940002441406
25,721.450012207031
26,731.690002441406
27,741.799987792969
28,751.840026855469
29,761.52001953125
30,771.190002441406
31,780.830017089844
32,790.309997558594
33,799.650024414062
34,808.820007324219
35,817.929992675781
36,827.190002441406
37,836.630004882812
38,846.210021972656
39,855.719970703125
40,865.380004882812
41,875.02001953125
42,884.549987792969
43,894.239990234375
44,904.280029296875
45,914.679992675781
46,925.419982910156
47,936.289978027344
48,947.510009765625
49,958.909973144531
50,970.210021972656
51,981.539978027344
52,993.719970703125
53,1006.38000488281
54,1019.27001953125
55,1032.32995605469
56,1046.15002441406
57,1060.56994628906
58,1075.34997558594
59,1090.52001953125
60,1105.83996582031
61,1121.44995117188
62,1137.53002929688
63,1154.33996582031
64,1171.72998046875
65,1189.93994140625
66,1208.92004394531
67,1228.38000488281
68,1248.22998046875
69,1268.61999511719
70,1289.32995605469
71,1310.30004882812
72,1332.22998046875
73,1355.31005859375
74,1379.9599609375
75,1406.48999023438
76,1433.72998046875
77,1461.23999023438
78,1489.36999511719
79,1517.82995605469
80,1546.75
81,1576.44995117188
82,1607.58996582031
83,1639
84,1672.92004394531
85,1708.01000976562
86,1743.35998535156
87,1780.76000976562
88,1819.36999511719
89,1858.80004882812
90,1897.57995605469
91,1943.01000976562
92,1999.01000976562
93,2070.830078125
94,2149.85009765625
95,2223.69995117188
96,2304.94995117188
97,2384.580078125
98,2465.19995117188
99,2572.89990234375
100,2909.48999023438
