HypsoPerc,HypsoAlt
0,162.199996948242
1,348
2,399.019989013672
3,425.549987792969
4,447.869995117188
5,458.339996337891
6,465.440002441406
7,471.589996337891
8,476.959991455078
9,482.070007324219
10,487.160003662109
11,492.040008544922
12,496.450012207031
13,500.640014648438
14,504.869995117188
15,509.359985351562
16,513.929992675781
17,518.809997558594
18,523.820007324219
19,528.929992675781
20,534.140014648438
21,539.47998046875
22,544.830017089844
23,550.280029296875
24,555.780029296875
25,561.239990234375
26,566.820007324219
27,572.239990234375
28,577.72998046875
29,583.450012207031
30,589.429992675781
31,595.219970703125
32,600.909973144531
33,606.840026855469
34,612.929992675781
35,618.969970703125
36,624.909973144531
37,630.700012207031
38,636.669982910156
39,642.640014648438
40,648.940002441406
41,655.150024414062
42,661.340026855469
43,667.390014648438
44,673.200012207031
45,678.940002441406
46,684.609985351562
47,690.419982910156
48,696.349975585938
49,702.159973144531
50,708.099975585938
51,714.039978027344
52,720.059997558594
53,726.099975585938
54,732.159973144531
55,738.320007324219
56,744.390014648438
57,750.530029296875
58,756.700012207031
59,762.869995117188
60,769.219970703125
61,775.590026855469
62,782.049987792969
63,788.630004882812
64,795.239990234375
65,801.789978027344
66,808.440002441406
67,815.169982910156
68,822.099975585938
69,829.570007324219
70,837.190002441406
71,845.119995117188
72,853.010009765625
73,861.059997558594
74,869.349975585938
75,877.700012207031
76,886.010009765625
77,894.630004882812
78,903.320007324219
79,912.280029296875
80,921.510009765625
81,930.77001953125
82,940.049987792969
83,949.580017089844
84,959.22998046875
85,969.080017089844
86,979.150024414062
87,990.080017089844
88,1002.57000732422
89,1015.97998046875
90,1030.53002929688
91,1046.66003417969
92,1064.18005371094
93,1083.59997558594
94,1106.18994140625
95,1131.4599609375
96,1164.55004882812
97,1208.31994628906
98,1265.63000488281
99,1339.63000488281
100,1547.21997070312
