var,imp,r2,rmse,kge
surface_pressure,17.5544728880948,0.27,32.65,-0.65
cloud_cover,26.2767016284662,0.27,32.65,-0.65
wind_speed_10m,10.3028179669612,0.27,32.65,-0.65
shortwave_radiation,12.5977728795448,0.27,32.65,-0.65
soil_moisture_100_to_255cm,15.3775863683974,0.27,32.65,-0.65
q,17.8906482685356,0.27,32.65,-0.65
