var,imp,r2,rmse,kge
cloud_cover,20.2866730453144,0.39,3.28,-0.63
soil_temperature_28_to_100cm,19.8946150946842,0.39,3.28,-0.63
soil_moisture_100_to_255cm,44.7530623689089,0.39,3.28,-0.63
pr,15.0656494910925,0.39,3.28,-0.63
