var,imp,r2,rmse,kge
temperature_2m,8.85420869000978,0.02,6.04,0.04
relative_humidity_2m,13.6472012113748,0.02,6.04,0.04
surface_pressure,15.5008003446139,0.02,6.04,0.04
cloud_cover,7.26068476853164,0.02,6.04,0.04
shortwave_radiation,7.96915289080277,0.02,6.04,0.04
soil_moisture_28_to_100cm,13.9801279827665,0.02,6.04,0.04
tmin,12.5636417545071,0.02,6.04,0.04
pet,9.79346606727895,0.02,6.04,0.04
q,10.4307162901145,0.02,6.04,0.04
