date,temperature_2m,relative_humidity_2m,surface_pressure,cloud_cover,et0_fao_evapotranspiration,wind_speed_10m,shortwave_radiation,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm,tmin,tmax,pr,pet
1993-01-01,2.20749999666667,87.3395800416667,969.901628333333,44.6666666666667,0.0274459807916667,3.46734142916667,68.1666666666667,-1.51958332416667,0.751249996666667,6.3262499375,11.0366664583333,0.364166666666667,0.371041666666667,0.369,0.364,-1.13,7.72,0,0.743113083334845
1993-01-02,0.755416655625,90.5385103333333,969.061137916667,39.9166666666667,0.0300418411541667,3.33102199166667,84,-1.82791666583333,0.52000001375,5.69499995,10.9179166666667,0.362208333333333,0.368875,0.369,0.364,-2.63,5.5699997,0,0.656300784446065
1993-01-03,-0.352916666416667,84.9255661666667,968.695544166667,46.375,0.0232875600416667,6.62758339583333,61.3333333333333,-0.519583327083333,0.580416666666667,5.16791660416667,10.7887498125,0.359708333333333,0.366791666666667,0.368416666666667,0.364,-3.0300002,2.27,0,0.479243284160988
1993-01-04,-1.06541665833333,84.444885125,973.892732083333,33.7083333333333,0.0306703789333333,3.85594463333333,89.875,-1.60291665375,0.574166677916667,4.76374995,10.6491666666667,0.357541666666667,0.364666666666667,0.368083333333333,0.364,-4.08,3.52,0,0.580108437937311
1993-01-05,0.407500014166667,79.8960115833333,980.489183333333,0.5,0.0377319739166667,4.56697661666667,98.2083333333333,-1.28833334875,0.392916675,4.41583324583333,10.5074998333333,0.356125,0.362708333333333,0.368,0.364,-3.5300002,7.37,0,0.786188919860868
1993-01-06,1.530416625,77.61706275,980.055544583333,1.375,0.0401386275833333,4.88676689166667,96.25,-0.996666667083333,0.3075,4.1116665875,10.3574999583333,0.354625,0.361458333333333,0.368,0.364,-3.4299998,9.37,0,0.902452074212095
1993-01-07,3.81583327166667,76.8252822916667,975.56780375,53.6666666666667,0.0412867781625,5.12386193333333,92.3333333333333,-0.51750001875,0.267916666666667,3.855416675,10.207499875,0.353375,0.36025,0.367791666666667,0.364,-3.13,12.32,0,1.07549524857359
1993-01-08,6.09916660416667,74.8637460416667,974.833310416667,17.9583333333333,0.0431717835333333,3.40280282916667,95.4583333333333,1.3304166775,0.574166667083333,3.65958328333333,10.0533331666667,0.348958333333333,0.358333333333333,0.367125,0.364,0.37,11.87,0,0.997345110053436
1993-01-09,4.41791662608333,87.9010185833333,975.440740416667,18,0.0437073058458333,4.893555025,97.625,1.52000000125,1.582500005,3.5950001,9.90125,0.346166666666667,0.356041666666667,0.366083333333333,0.364,-1.28,12.62,0,1.08299544834028
1993-01-10,4.44291664770833,89.410146625,973.284670833333,48.4166666666667,0.04106913475,7.84206833333333,99.625,2.26374998416667,2.18250001666667,3.68249995833333,9.75124983333333,0.345291666666667,0.354541666666667,0.36675,0.364,-0.98,11.22,0,0.997692868055865
1993-01-11,5.00541658041667,83.8507101666667,968.111232083333,34.375,0.0443925687083333,8.80763412916667,98.2083333333333,3.93041664583333,3.138749975,3.85125005833333,9.6095833125,0.342958333333333,0.352041666666667,0.366333333333333,0.364,-0.43,13.62,0,1.14778269968428
1993-01-12,6.27208331916667,82.834870625,967.978975416667,5.25,0.0424679324166667,6.304054225,90.5416666666667,4.54083331666667,3.66791664166667,4.10541655416667,9.4741665,0.339541666666667,0.349666666666667,0.366,0.364,0.77,12.72,0,1.07301260547615
1993-01-13,7.77624995,85.0747160416667,972.062005416667,23.3333333333333,0.0494818,7.8941862875,100.666666666667,5.98666661666667,4.66374998333333,4.40333324583333,9.35333333333333,0.336875,0.34725,0.365,0.364,2.37,15.57,0,1.23949754545477
1993-01-14,7.6054166,90.3135115833333,976.976125416667,65.25,0.0395927312083333,4.40297352083333,83.5833333333333,6.22624990833333,5.50958325833333,4.81166662916667,9.23874977083333,0.33575,0.345625,0.365666666666667,0.364,2.87,12.97,0,1.05004116943977
1993-01-15,7.98041658333333,87.5150464583333,978.911814166667,36.2916666666667,0.0465351017083333,6.8237260625,103.583333333333,7.1304166,6.14083328333333,5.22208327083333,9.14291666666667,0.33425,0.344333333333333,0.365916666666667,0.364,3.87,12.67,0,1.00168149521882
1993-01-16,7.16791655833333,84.8388332916667,981.1805125,30.3333333333333,0.0478553993083333,7.12648323333333,104.25,6.65749993333333,5.80333327083333,5.55958328333333,9.04708310416667,0.330333333333333,0.342416666666667,0.364083333333333,0.364,3.7199998,11.7699995,0,0.94673483952012
1993-01-17,6.53666662083333,85.6373944166667,978.720736666667,47.5833333333333,0.0384419404166667,8.235562175,85.875,5.81583325,5.54083325833333,5.77624995,8.9741665625,0.329,0.33975,0.363,0.364,2.37,10.67,0,0.923220292793297
1993-01-18,5.11583330416667,83.3773264583333,976.241534166667,19.7916666666667,0.0478809717083333,4.57499658333333,105.833333333333,4.10333330875,4.97833328333333,5.86791665416667,8.89708333333333,0.32775,0.338,0.362333333333333,0.364,-0.28,12.17,0,1.11387129652578
1993-01-19,3.94708331333333,87.0949624583333,976.6459575,5.45833333333333,0.0476182032291667,3.82726921666667,108.291666666667,1.57625001916667,3.32416664583333,5.7762499625,8.82624995833333,0.325583333333333,0.335958333333333,0.361333333333333,0.364,-1.68,12.32,0,1.16064375546912
