date,Qi_past,Qdiv_past,V_sqd,Qi_sqd,Qo_sqd,V_sau,Qi_sau,Qo_sau,Qin_calc_sau,Qout_calc_sau,Qin_calc_sqd,Qout_calc_sqd,T_Gola,P_Gola,E_Gola,T_Pasteral,P_Pasteral,E_Pasteral,T_Susqueda,P_Susqueda,E_Susqueda,T_Sau,P_Sau,E_Sau,T_Ripoll,P_Ripoll,E_Ripoll,Q_Gola,Q_Pasteral,Q_Susqueda,Q_Sau,Q_Ripoll
2007-07-01,15.62,5.445,139.336,1.1756,15.62,81.7598,3.9755,0,3.97453703703707,0,1.17555555555566,15.62,21.5033339166667,0,5.00052759231632,21.5033339166667,0,5.00052759231632,16.61674975,1.2,4.18365403160023,16.61674975,1.2,4.18365403160023,16.61674975,1.2,4.18365403160023,2.6278,10.175,1.17555555555566,3.97453703703707,4.305656808
2007-07-02,15.6,5.635,138.014,0.2991,15.6,81.9894,2.6565,0,2.65740740740746,0,0.299074074074042,15.6,20.492917375,0.3,4.5913190197936,20.492917375,0.3,4.5913190197936,13.3104999583333,2.6,3.32730079928077,13.3104999583333,2.6,3.32730079928077,13.3104999583333,2.6,3.32730079928077,2.8291,9.965,0.299074074074042,2.65740740740746,4.180729724
2007-07-03,18.42,9.392,136.5,0.8968,18.42,82.3344,3.9938,0,3.99305555555554,0,0.896851851851736,18.42,21.4366671666667,0.5,5.54919559622809,21.4366671666667,0.5,5.54919559622809,14.5105000833333,4.2,3.96543603032734,14.5105000833333,4.2,3.96543603032734,14.5105000833333,4.2,3.96543603032734,2.7021,9.028,0.896851851851736,3.99305555555554,4.015177641
2007-07-04,15.77,8.333,135.271,1.5455,15.77,82.5265,2.5866,0.3631,2.58647962962959,0.3631,1.54546296296281,15.77,19.0783338333333,4.4,3.16752855932573,19.0783338333333,4.4,3.16752855932573,13.16883325,9.3,3.34664638123206,13.16883325,9.3,3.34664638123206,13.16883325,9.3,3.34664638123206,2.5252,7.437,1.54546296296281,2.58647962962959,4.006184585
2007-07-05,16.03,8.631,133.93,0.5092,16.03,82.6804,1.7813,0,1.78125000000008,0,0.509166666666902,16.03,18.5179170208333,3,3.76407987363259,18.5179170208333,3,3.76407987363259,12.2771665208333,0,4.15751247610972,12.2771665208333,0,4.15751247610972,12.2771665208333,0,4.15751247610972,2.4844,7.399,0.509166666666902,1.78125000000008,3.91141028
2007-07-06,16.67,9.247,132.519,0.3391,16.67,82.9888,3.569,0,3.56944444444435,0,0.338981481481468,16.67,21.878333875,0,5.68455591617356,21.878333875,0,5.68455591617356,16.3625829583333,0.2,4.92458541096456,16.3625829583333,0.2,4.92458541096456,16.3625829583333,0.2,4.92458541096456,2.1359,7.423,0.338981481481468,3.56944444444435,3.716486669
2007-07-07,13.36,5.74,131.466,1.1725,13.36,83.2979,3.5777,0,3.57754629629631,0,1.17250000000003,13.36,23.0970837083333,0,5.87303335994094,23.0970837083333,0,5.87303335994094,17.1125830833333,6.2,4.63549212166883,17.1125830833333,6.2,4.63549212166883,17.1125830833333,6.2,4.63549212166883,2.8932,7.62,1.17250000000003,3.57754629629631,3.532014446
2007-07-08,13.84,6.134,130.342,0.8307,13.84,83.4528,1.7921,0,1.79282407407405,0,0.830740740740795,13.84,23.3366670416667,0,5.40053208054714,23.3366670416667,0,5.40053208054714,16.5604999166667,3.6,3.92781606445274,16.5604999166667,3.6,3.92781606445274,16.5604999166667,3.6,3.92781606445274,1.8129,7.706,0.830740740740795,1.79282407407405,3.466375558
2007-07-09,16.38,8.78,129.031,1.2064,16.38,83.6466,2.2432,0,2.24305555555567,0,1.20638888888881,16.38,19.22000075,30,3.9136681401427,19.22000075,30,3.9136681401427,11.6084167916667,3.1,2.80568931609494,11.6084167916667,3.1,2.80568931609494,11.6084167916667,3.1,2.80568931609494,1.8798,7.6,1.20638888888881,2.24305555555567,3.74084778
2007-07-10,15.98,8.732,127.691,0.4707,15.98,83.8795,2.6962,0,2.6956018518517,0,0.470740740740702,15.98,17.5970838125,6.5,3.68258608340809,17.5970838125,6.5,3.68258608340809,10.6229999916667,0.5,3.83758814354445,10.6229999916667,0.5,3.83758814354445,10.6229999916667,0.5,3.83758814354445,1.8486,7.248,0.470740740740702,2.6956018518517,3.63987903
