date,temperature_2m,relative_humidity_2m,surface_pressure,cloud_cover,et0_fao_evapotranspiration,wind_speed_10m,shortwave_radiation,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm,tmin,tmax,pr,pet
1993-01-01,4.55825002916667,74.164777125,1022.50451291667,29.9583333333333,0.038706973425,9.06047648333333,75.375,4.40199999166667,6.2332501125,10.7457501666667,14.112417125,0.300791666666667,0.303125,0.324958333333333,0.321,1.9395,9.0395,0,0.731602291950762
1993-01-02,3.78116664166667,74.6459383333333,1021.79551541667,14,0.0406772023241667,9.79344515833333,87.5,3.98741662916667,5.82491666666667,10.2790835833333,14.0353333333333,0.298625,0.301583333333333,0.322916666666667,0.321,0.6895,7.8894997,0,0.701870106245202
1993-01-03,2.991583325,77.5154199583333,1021.76843958333,47.3333333333333,0.0362656912291667,17.6145793958333,61,4.84783335416667,5.92491684166667,9.88116679166667,13.9561667083333,0.297666666666667,0.3005,0.321458333333333,0.321,0.4895,4.8894997,0.7,0.511360216299104
1993-01-04,2.39783333583333,71.3455915833333,1027.13886666667,9.83333333333333,0.0395780703920833,6.75674715416667,96.75,4.029083325,5.75824999166667,9.54991691666667,13.862417125,0.296916666666667,0.299583333333333,0.32,0.321,-0.76049995,6.4395,0,0.662281478747816
1993-01-05,3.82491671625,73.1563842916667,1033.87723333333,0.0833333333333333,0.0389852954166667,3.7178622125,97.0416666666667,4.3207499375,5.55200018333333,9.229083625,13.7645,0.295791666666667,0.298708333333333,0.3185,0.321,0.13949999,8.889501,0,0.793628170090054
1993-01-06,5.31658339166667,76.9736778333333,1033.22842916667,0.708333333333333,0.04070463535,3.92671411666667,94.5,4.47075000416667,5.5124167,8.94158358333333,13.6561671666667,0.295125,0.298,0.316916666666667,0.321,1.1895,10.8395,0,0.89457685383463
1993-01-07,7.04991672916667,76.10912175,1028.045475,58.2916666666667,0.043005823125,5.09524960833333,88.5833333333333,4.87908338333333,5.50825003333333,8.70200025,13.5561666666667,0.294416666666667,0.297083333333333,0.315458333333333,0.321,1.6895,14.2395,0,1.11039619507087
1993-01-08,8.48325015416667,79.0528290416667,1026.83062916667,23.7916666666667,0.04428736955,5.1647349125,93.75,6.93116676666667,6.20616665833333,8.5395,13.4624166666667,0.292583333333333,0.296458333333333,0.314125,0.321,4.4395,14.389501,0,1.05099431398534
1993-01-09,7.637416725,87.793218,1027.7758875,26.125,0.0426519104458333,5.73414066666667,96.4166666666667,7.1520001625,7.18950007916667,8.54991666666667,13.374917375,0.2905,0.295541666666667,0.312625,0.321,2.9395,13.4895,0,1.04138980500172
1993-01-10,8.049916825,86.9696549583333,1024.74832291667,52.625,0.0459019586125,10.2760328,99.5833333333333,7.6103335,7.506166725,8.61658370833333,13.302,0.2885,0.294083333333333,0.311166666666667,0.321,3.4895,14.0895,0,1.07434511131291
