date,temperature_2m,relative_humidity_2m,surface_pressure,cloud_cover,et0_fao_evapotranspiration,wind_speed_10m,shortwave_radiation,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm,tmin,tmax,pr,pet
1993-01-01,3.5049999925,72.9545407916667,1024.49276666667,19.75,0.039551542775,7.77391985,85.0416666666667,2.3383333475,4.3966666,9.40291695833333,13.5987500416667,0.316375,0.323791666666667,0.352333333333333,0.305125,0.16750002,8.7675,0,0.773258012475427
1993-01-02,3.21541659429167,76.5016267916667,1023.88013083333,10.5833333333333,0.0362402867840167,7.52573725833333,90.2083333333333,1.67375001958333,3.81541670833333,8.79250025,13.4841671875,0.313166666666667,0.320416666666667,0.350125,0.306125,-0.43249995,7.0175,0,0.684731783283042
1993-01-03,2.57583333875,79.3500993333333,1023.9295625,44.7916666666667,0.0287169128625,13.181305625,54.9583333333333,2.8779166625,4.0216667125,8.27583347916667,13.3675001458333,0.31175,0.316125,0.348041666666667,0.307,-0.53249997,4.4175,0,0.524897723997045
1993-01-04,2.07166665958333,70.3455504583333,1029.24027083333,8.625,0.0368999660466667,5.2357675375,95.5416666666667,1.48416666458333,3.60499999583333,7.87791654166667,13.2404171458333,0.309833333333333,0.313083333333333,0.345791666666667,0.308,-1.7825,5.8675,0,0.659166899879983
1993-01-05,4.01124995666667,69.0962805,1035.9196,0.5,0.0384985018833333,3.28874770416667,96.0416666666667,2.04250001666667,3.248750025,7.459166525,13.1029167916667,0.306208333333333,0.31125,0.344291666666667,0.308583333333333,-0.6325,8.8675,0,0.815754682435133
1993-01-06,5.4154167375,74.3752004583333,1035.212675,1.16666666666667,0.039870023375,3.559221025,93.0833333333333,2.65291663333333,3.4591667,7.11749988333333,12.9591671458333,0.303291666666667,0.309583333333333,0.342458333333333,0.309,0.9675,10.9175005,0,0.909537626334236
1993-01-07,7.25500010416667,76.8494729583333,1030.0197625,61.9166666666667,0.0418352228875,4.57347092083333,86.0416666666667,3.734166625,3.80291664583333,6.88624979166667,12.8133333333333,0.300916666666667,0.308333333333333,0.340666666666667,0.31,2.0175,14.3675,0,1.11602704430646
1993-01-08,8.00916676666667,83.1904105416667,1028.68744583333,19.5833333333333,0.0438189944583333,5.26859798625,93.625,6.07791674166667,5.11958322083333,6.81124978333333,12.6695838541667,0.2985,0.307291666666667,0.339125,0.31,2.6675,15.5175,0,1.1852722272142
1993-01-09,7.54458337916667,82.4981193333333,1029.7617625,28.1666666666667,0.0435392553375,4.80725714166667,95.4583333333333,6.39458340416667,6.27583319166667,6.98833316666667,12.5404167916667,0.295583333333333,0.305625,0.337666666666667,0.311,2.6675,13.7675,0,1.07283564432626
1993-01-10,7.94041675416667,84.2827887083333,1026.60040166667,50.4583333333333,0.0443768239166667,5.68738655833333,98.4166666666667,6.850833425,6.55708320833333,7.20708323333333,12.4154171458333,0.293666666666667,0.303666666666667,0.336291666666667,0.311,3.1175,14.967501,0,1.15155451499264
1993-01-11,9.36125023333333,93.685897875,1021.80703166667,91.7083333333333,0.0338943706375,5.50557020833333,76.75,8.30708332083333,7.34666659166667,7.46541655416667,12.3029166666667,0.29425,0.302416666666667,0.334875,0.311416666666667,5.8174996,13.3175,0.2,0.94077649186343
1993-01-12,9.70291685416667,90.6967949166667,1021.25325791667,60.4166666666667,0.039899092,5.19581065,86.4583333333333,8.45500002916667,7.69249995,7.75083319583333,12.1966673958333,0.294916666666667,0.301583333333333,0.33375,0.312,4.8174996,13.6675005,0,1.01736391965136
1993-01-13,10.1550001541667,84.2823915,1025.22356833333,24.875,0.0454085737916667,5.07678726666667,98.8333333333333,8.96958344583333,8.07166679583333,8.01749995416667,12.0966666666667,0.29225,0.300625,0.3325,0.312,5.7675,15.3175,0,1.11622096541985
1993-01-14,10.7362502375,88.42340775,1030.76434583333,75.125,0.0395998045833333,5.05474516666667,79.3333333333333,9.93000017083333,9.0445835,8.33833341666667,12.0070836666667,0.290041666666667,0.2995,0.331416666666667,0.312041666666667,7.2174997,14.467501,0,0.990728474310942
1993-01-15,10.2175001916667,85.929142375,1032.20107083333,41.125,0.0416031710770833,9.7915193,87.2083333333333,9.62375021666667,8.84666685833333,8.63625020833333,11.9258339166667,0.287916666666667,0.29825,0.330125,0.313,6.7174997,14.4175005,0,1.01956221887879
1993-01-16,10.544583625,85.5517964583333,1034.13840833333,36.2916666666667,0.0502749495291667,10.2686728541667,98.5,10.1216669166667,9.26541695833333,8.88625025,11.8404166666667,0.286125,0.296333333333333,0.328583333333333,0.313,7.1175,14.7675,0,1.03843611506258
1993-01-17,9.94875007083333,79.6987707916667,1031.33019583333,7.70833333333333,0.0524716691083333,12.7038529208333,99.2916666666667,9.338333475,8.92375014583333,9.08000004166667,11.7695835,0.282666666666667,0.293041666666667,0.325958333333333,0.313,6.5175,14.3175,0,1.03840927885907
1993-01-18,8.44666679583333,82.5930680416667,1030.3541375,40.0833333333333,0.0421578160208333,3.80519625416667,89.0416666666667,7.86333342083333,8.52166681666667,9.1675005,11.6966674583333,0.2785,0.291,0.324,0.313,4.1675,13.5675,0,1.08698710896186
1993-01-19,7.52166674583333,85.235639,1031.05310416667,20.2916666666667,0.0470900387083333,3.45371234166667,102.291666666667,7.33833344583333,8.03833334166667,9.14041689583333,11.6383335416667,0.277208333333333,0.290041666666667,0.3215,0.313,2.5675,14.0175,0,1.18458308525882
