date,value
2008/03/25,2.6079
2008/03/26,2.381
2008/03/27,2.7859
2008/03/28,2.5755
2008/03/29,2.3495
2008/03/30,2.2048
2008/03/31,2.4773
2008/04/01,2.8893
2008/04/02,2.8058
2008/04/03,2.4883
2008/04/04,2.2811
2008/04/05,2.1744
2008/04/06,2.0536
2008/04/07,1.9289
2008/04/08,1.3741
2008/04/09,1.7782
2008/04/10,1.561
2008/04/11,1.3967
2008/04/12,1.5994
2008/04/13,1.7668
2008/04/14,1.7841
2008/04/15,1.6743
2008/04/16,1.6368
2008/04/17,1.4387
2008/04/18,1.4514
2008/04/19,1.5773
2008/04/20,1.5862
2008/04/21,1.4866
2008/04/22,1.4676
2008/04/23,1.6051
2008/04/24,1.7507
2008/04/25,1.6013
2008/04/26,1.4305
2008/04/27,1.3467
2008/04/28,1.2774
2008/04/29,1.2452
2008/04/30,1.3741
2008/05/01,1.1976
2008/05/02,1.0717
2008/05/03,1.0054
2008/05/04,0.972
2008/05/05,0.9128
2008/05/06,0.8134
2008/05/07,0.7575
2008/05/08,2.3706
2008/05/09,0.7717
2008/05/10,0.895
2008/05/11,2.7241
2008/05/12,6.9175
2008/05/13,4.0726
2008/05/14,3.1701
2008/05/15,2.6618
2008/05/16,2.1232
2008/05/17,1.9849
2008/05/18,1.504
2008/05/19,2.4137
2008/05/20,1.7583
2008/05/21,1.4817
2008/05/22,1.265
2008/05/23,1.2295
2008/05/24,1.1433
2008/05/25,1.1045
2008/05/26,2.2511
2008/05/27,4.3746
2008/05/28,3.4907
2008/05/29,2.9018
2008/05/30,2.5432
2008/05/31,2.3706
2008/06/01,2.629
2008/06/02,3.4371
2008/06/03,2.6918
2008/06/04,2.4915
2008/06/05,2.5698
2008/06/06,8.8005
2008/06/07,6.6404
2008/06/08,1.0707
2008/06/09,4.5067
2008/06/10,3.546
2008/06/11,2.9225
2008/06/12,2.566
2008/06/13,2.2157
2008/06/14,8.9963
2008/06/15,7.6938
2008/06/16,3.7317
2008/06/17,3.1487
2008/06/18,16.062
2008/06/19,6.3767
2008/06/20,3.296
2008/06/21,2.5806
2008/06/22,1.7299
2008/06/23,1.1632
2008/06/24,0.8056
2008/06/25,0.6667
2008/06/26,0.8931
2008/06/27,0.8294
2008/06/28,1.1148
2008/06/29,1.1995
2008/06/30,1.0707
2008/07/01,0.9494
2008/07/02,1.2154
2008/07/03,1.1627
2008/07/04,1.0964
2008/07/05,1.1132
2008/07/06,0.9817
2008/07/07,0.9772
2008/07/08,1.3122
2008/07/09,0.995
2008/07/10,1.1169
2008/07/11,1.0102
2008/07/12,1.8962
2008/07/13,3.9913
2008/07/14,2.9918
2008/07/15,2.68
2008/07/16,1.6969
2008/07/17,1.1682
2008/07/18,0.9536
2008/07/19,1.0078
2008/07/20,1.1676
2008/07/21,1.017
2008/07/22,0.9931
2008/07/23,0.8872
2008/07/24,0.6751
2008/07/25,0.6002
2008/07/26,0.763
2008/07/27,1.5506
2008/07/28,2.2114
2008/07/29,1.8138
2008/07/30,1.3995
2008/07/31,1.3122
2008/08/01,1.0393
2008/08/02,0.9231
2008/08/03,1.1112
2008/08/04,1.3152
2008/08/05,1.0893
2008/08/06,0.9657
2008/08/07,0.8734
2008/08/08,1.666114583
2008/08/09,1.2618
2008/08/10,1.0809
2008/08/11,1.3822
2008/08/12,1.3278
2008/08/13,1.3049
2008/08/14,1.1576
2008/08/15,1.663
2008/08/16,1.9622
2008/08/17,1.9862
2008/08/18,2.1303
